y,x,osmid,highway,ref,geometry
52.5142272,13.3483164,1337618577,,,POINT (13.3483164 52.5142272)
52.5144456,13.3518173,1337618585,,,POINT (13.3518173 52.5144456)
52.5140358,13.3512222,1337618593,,,POINT (13.3512222 52.5140358)
52.513848,13.3492615,1337618651,,,POINT (13.3492615 52.513848)
52.4361542,13.2785729,1338463716,,,POINT (13.2785729 52.4361542)
52.4360902,13.2783882,1338463782,,,POINT (13.2783882 52.4360902)
52.4363769,13.2788336,1338463789,,,POINT (13.2788336 52.4363769)
52.4362863,13.2781058,1338463826,,,POINT (13.2781058 52.4362863)
52.4361739,13.2782708,1338463827,,,POINT (13.2782708 52.4361739)
52.4363895,13.2788548,1338463858,,,POINT (13.2788548 52.4363895)
52.4363506,13.2788236,1338463878,,,POINT (13.2788236 52.4363506)
52.4363156,13.2788823,1338463901,,,POINT (13.2788823 52.4363156)
52.4361949,13.2782427,1338463910,,,POINT (13.2782427 52.4361949)
52.4363591,13.2783379,1338463914,,,POINT (13.2783379 52.4363591)
52.515827,13.3698596,1342724020,,,POINT (13.3698596 52.515827)
52.5556342,13.2038555,1353041792,,,POINT (13.2038555 52.5556342)
52.4301963,13.2422222,1356340399,,,POINT (13.2422222 52.4301963)
52.5017038,13.5684524,1379559012,,,POINT (13.5684524 52.5017038)
52.4229998,13.4403461,1390663940,,,POINT (13.4403461 52.4229998)
52.5429639,13.2616569,1405049718,,,POINT (13.2616569 52.5429639)
52.5478046,13.3020517,1421332353,,,POINT (13.3020517 52.5478046)
52.5256206,13.5650282,1432824053,,,POINT (13.5650282 52.5256206)
52.6057826,13.3289527,1492771561,,,POINT (13.3289527 52.6057826)
52.4606568,13.4174778,1507741251,,,POINT (13.4174778 52.4606568)
52.4955156,13.33048,1514500868,crossing,,POINT (13.33048 52.4955156)
52.4367331,13.4510554,1519854150,,,POINT (13.4510554 52.4367331)
52.4989303,13.4277635,1528011425,,,POINT (13.4277635 52.4989303)
52.499172,13.4279768,1528011448,,,POINT (13.4279768 52.499172)
52.425644,13.5418483,1560223254,,,POINT (13.5418483 52.425644)
52.4258044,13.5451871,1560223271,,,POINT (13.5451871 52.4258044)
52.4263617,13.5290214,1560223382,,,POINT (13.5290214 52.4263617)
52.5053873,13.3398163,1560791904,,,POINT (13.3398163 52.5053873)
52.4500705,13.5430393,1565876185,,,POINT (13.5430393 52.4500705)
52.626062,13.4958212,1594381971,,,POINT (13.4958212 52.626062)
52.5484045,13.5929292,1629411731,,,POINT (13.5929292 52.5484045)
52.5244437,13.4179216,1631101155,,,POINT (13.4179216 52.5244437)
52.4330651,13.2796696,1632277137,,,POINT (13.2796696 52.4330651)
52.4834415,13.4467665,1650839138,,,POINT (13.4467665 52.4834415)
52.4414981,13.6872484,1665054896,,,POINT (13.6872484 52.4414981)
52.4952328,13.3665427,1670072153,,,POINT (13.3665427 52.4952328)
52.4971217,13.3669963,1670082104,,,POINT (13.3669963 52.4971217)
52.4259497,13.5364322,1677246221,,,POINT (13.5364322 52.4259497)
52.4259619,13.5360361,1677246223,,,POINT (13.5360361 52.4259619)
52.4291394,13.4524693,1686044364,crossing,,POINT (13.4524693 52.4291394)
52.4359338,13.2780189,1690711845,,,POINT (13.2780189 52.4359338)
52.4360391,13.2781774,1690711884,,,POINT (13.2781774 52.4360391)
52.4361005,13.2781276,1690711926,,,POINT (13.2781276 52.4361005)
52.4361259,13.2780866,1690711962,,,POINT (13.2780866 52.4361259)
52.5086463,13.2729443,1753097235,,,POINT (13.2729443 52.5086463)
52.510188,13.2715445,1765900103,,,POINT (13.2715445 52.510188)
52.5704443,13.3208198,1774538269,,,POINT (13.3208198 52.5704443)
52.4876482,13.3845072,1786559693,,,POINT (13.3845072 52.4876482)
52.5257043,13.3400334,1807910168,,,POINT (13.3400334 52.5257043)
52.5514776,13.3437043,1824842188,,,POINT (13.3437043 52.5514776)
52.5520345,13.3427029,1824842215,,,POINT (13.3427029 52.5520345)
52.5006639,13.3859081,1834143097,,,POINT (13.3859081 52.5006639)
52.5521283,13.5642301,1838908655,,,POINT (13.5642301 52.5521283)
52.5266462,13.4150958,1840382357,,,POINT (13.4150958 52.5266462)
52.4358387,13.3666068,1852739792,,,POINT (13.3666068 52.4358387)
52.5518355,13.564441,1864754141,,,POINT (13.564441 52.5518355)
52.5191132,13.4528615,1882193210,crossing,,POINT (13.4528615 52.5191132)
52.4329489,13.2797209,1897741152,,,POINT (13.2797209 52.4329489)
52.4808586,13.3676428,1929179529,,,POINT (13.3676428 52.4808586)
52.453094,13.3197006,1937094833,,,POINT (13.3197006 52.453094)
52.5091659,13.2709579,1940175016,,,POINT (13.2709579 52.5091659)
52.5312821,13.4122054,1945815181,crossing,,POINT (13.4122054 52.5312821)
52.5315781,13.4126356,1952184926,,,POINT (13.4126356 52.5315781)
52.5316422,13.4123994,1952184927,crossing,,POINT (13.4123994 52.5316422)
52.4888563,13.3970145,1992149709,,,POINT (13.3970145 52.4888563)
52.4889601,13.3944405,1992149711,,,POINT (13.3944405 52.4889601)
52.4362626,13.2784547,2002684767,,,POINT (13.2784547 52.4362626)
52.4362841,13.278424,2002684771,,,POINT (13.278424 52.4362841)
52.5601615,13.5749938,2019487327,,,POINT (13.5749938 52.5601615)
52.5058261,13.3683623,2020514544,,,POINT (13.3683623 52.5058261)
52.5290852,13.5669732,2036002750,,,POINT (13.5669732 52.5290852)
52.4835761,13.4003724,2065983938,,,POINT (13.4003724 52.4835761)
52.4837887,13.3994,2065983939,,,POINT (13.3994 52.4837887)
52.4314321,13.2790821,2150487446,,,POINT (13.2790821 52.4314321)
52.5716435,13.3119488,2159902224,,,POINT (13.3119488 52.5716435)
52.4367552,13.5616941,2163157174,,,POINT (13.5616941 52.4367552)
52.4418227,13.5598988,2163157193,,,POINT (13.5598988 52.4418227)
